original_title,overview,genres,tagline,keywords,directors,cast,poster_path,status,spoken_languages,averageRating
The Wooden Horse,True story of three British POWs and their attempt to escape from Nazi Germany,"War, Drama",Charged with high voltage excitement !,"world war ii, prisoner of war, based on true story","Jack Lee, Ian Dalrymple","Leo Genn, David Tomlinson, Anthony Steel, Peter Burton, Patrick Waddington, Michael Goodliffe, Anthony Dawson, Peter Finch, Philip Dale, Dan Cunningham",/c0o7shDXIMZnB4uEcc2sVlkc6ZZ.jpg,Released,English,6.9
The Act of Reading,A retired high school English teacher is confronted by a former student who failed her class 15 years prior. He then involves her in a feature-length presentation on Moby-Dick and the science of reading.,Documentary,A voyage of self-discovery...,"high school, literacy, moby dick, book report",Mark Blumberg,"Peter Bergman, Kristofer Blumberg",/yLKCbagLvjaGlGfYAReG7QrpaU9.jpg,Released,English,6.1
The Houston Story,A Texas oil driller schemes to steal millions of dollars in oil.,"Crime, Drama",Terror Over Texas!,"texas, houston, film noir, murder, oil",William Castle,"Gene Barry, Barbara Hale, Edward Arnold, Paul Richards, Jeanne Cooper, Frank Jenks, John Zaremba, Chris Alcaide, Jack Littlefield, Paul Levitt",/qW5IjlNXvWVEaghVjOINQIVkTp0.jpg,Released,"English, German",6.0
The Werewolf,"The arrival in a small mountain town of a dissheveled stranger launches a series of murders committed by some sort of animal.  As the town doctor and his daughter attempt to help the stranger, the sheriff investigates the murders; and they uncover a sinister experiment involving two rogue scientists, a car accident victim, his wife and children, and a serum that causes a man to turn into a ravaging werewolf.","Horror, Science Fiction",You see it happen!,"monster, transformation, murder, snow, werewolf",Fred F. Sears,"Steven Ritch, Don Megowan, Joyce Holden, Ken Christy, George Lynn, S. John Launer, Harry Lauter, Eleanore Tanin, Kim Charney, Don C. Harvey",/yWWzmxfK0dKjTpEbPWZXlPRhGPS.jpg,Released,English,5.8
Welcome II the Terrordome,"Spike and his sister Anjela live in the Terrordome, a huge ghetto that all the blacks have been forced to live in. Jodie, Spike's pregnant white girlfriend, ran away from an abusive white boyfriend who, after seeing her with Spike, sets up a trap for her. Spike's 11-year old nephew Hector dies as a result of this trap, and Anjela, finding the body of her son, goes on a police-killing rampage. Her apprehension sets off tension between Spike and his brother-in-law, as a race war broods inside the Terrordome.",Science Fiction,In the ghetto world of the future...the violence never stops!,woman director,Ngozi Onwurah,"Suzette Llewellyn, Saffron Burrows, Felix Joseph, Valentine Nonyela, Ben Wynter, Sian Ejiwunmi-Le Berre, Jason Traynor, Brian Bovell, Cynthia Powell, Natasha Romulus",/ii97IHefRu6wbKQygXYS0lmZ3ah.jpg,Released,English,5.8
NetForce,"Set in the year 2005, a division of the FBI, called ""NetForce"" has been initiated to investigate Internet crime. A Bill Gates-type character finds a loophole in his new web browser which enables him to gain control of the Internet. Net-Force, headed by Kristofferson and Bakula's characters set out to stop him.","Action, Science Fiction, Thriller, TV Movie",The One Who Controls The Internet Controls The World.,"future, internet",Robert Lieberman,"Scott Bakula, Joanna Going, Xander Berkeley, Brian Dennehy, Kris Kristofferson, CCH Pounder, Judge Reinhold, Alexa PenaVega, Chelsea Field, Cary-Hiroyuki Tagawa",/7j9wbttMSFC1ZvHzcSmzko6CGqE.jpg,Released,English,5.0
Descent,"Dutch ice freediver Kiki Bosch swims in the world's coldest waters without a wetsuit as therapy for a trauma she experienced, and to inspire others.",Documentary,There is a deeper peace beyond fear.,"diving, mental health, women's issues",Nays Baghai,"Kiki Bosch, Stefan Andrews, Mikael Koski, Wim Hof",/stDCYsRNz1QQb9XE6ZpWR5FmNcP.jpg,Released,"Dutch, English",7.9
クイール,"A Labrador retriever named Quill begins specialized training as a guide dog from an early age, then the canine is paired with a blind man who is initially reluctant to rely on his new partner.",Drama,A dog's life is never as easy as it looks.,"puppy, tearjerker, guide dog",Yōichi Sai,"Kaoru Kobayashi, Kippei Shiina, Kazu Matsuda, Yukika Sakuratani, Keiko Toda, Teruyuki Kagawa, Shinobu Terajima, Hiroko Natori, Rafie, Kenji Mizuhashi",/97KHrHEnvVFGrhC5kupwqwcIHjv.jpg,Released,Japanese,7.1
Robbery,"In this fictionalised account of the Great Train Robbery, career criminal Paul Clifton plans an audacious crime: the robbery of a mail train carrying millions in cash.","Crime, Thriller",Who says crime doesn't pay? 3 Million pounds says it does!,"london, england, based on true story, heist, train robbery, getaway driver",Peter Yates,"Stanley Baker, Joanna Pettet, James Booth, Frank Finlay, Barry Foster, William Marlowe, George Sewell, Glynn Edwards, Clinton Greyn, Robert Powell",/ny5tMuerZC0ezfQw3mAEZu1hdfT.jpg,Released,English,6.9
Roman Polanski: Wanted and Desired,Examines the public scandal and private tragedy which led to legendary director Roman Polanski's sudden flight from the United States.,Documentary,The truth couldn't fit in the headlines.,"biography, woman director, crime",Marina Zenovich,"Richard Brenneman, Douglas Dalton, Marilyn Beck, Steve Barshop, Madeline Bessmer, Michael M. Crain, Samantha Geimer, Mia Farrow, Istvan Bajzat, Nicolas Cage",/1W8t1iBSTRFr5Q0G3iJhw5BaP3w.jpg,Released,"German, English, French",7.2
Illicit Dreams,"A man and a woman sharing a psychic link meet and fall in love, but the woman's influential and powerful husband stands in their way.","Action, Drama, Thriller",The only thing hotter than her dreams is reality,eroticism,Andrew Stevens,"Shannon Tweed, Michelle Johnson, Joe Cortese, Brad Blaisdell, Stella Stevens, Rochelle Swanson, Carrie Dobro, Elizabeth Sandifer, Debbie Lynn Waters, Jennifer Bassey",/u52LIQADtaLV6KPGvPQeVeunZln.jpg,Released,English,3.9
The Van,"In a working-class quarter of Dublin, 'Bimbo' Reeves gets laid off from his job and, with his redundancy payout, buys a van and sells fish and chips with his buddy, Larry. Due to Ireland's surprising success at the 1990 FIFA World Cup, their business starts off well, but the relationship between the two friends soon becomes strained as Bimbo behaves more like a typical boss.","Comedy, Drama","A comedy About Friends, Family and Fish.","van, male friendship, dublin, ireland, snack bar, football (soccer), unemployment",Stephen Frears,"Colm Meaney, Donal O'Kelly, Ger Ryan, Caroline Rothwell, Neilí Conroy, Rúaidhrí Conroy, Brendan O'Carroll, Stuart Dunne, Jack Lynch, Laurie Morton",/charGRJwX4jka69v179veSUKo92.jpg,Released,English,6.7
In the Heights,"The story of Usnavi, a bodega owner who has mixed feelings about closing his store and retiring to the Dominican Republic or staying in Washington Heights.","Drama, Romance",The time has come.,"musical, based on play or musical, aftercreditsstinger, love and romance",Jon M. Chu,"Anthony Ramos, Corey Hawkins, Leslie Grace, Melissa Barrera, Olga Merediz, Daphne Rubin-Vega, Gregory Diaz IV, Marc Anthony, Jimmy Smits, Stephanie Beatriz",/RO4KoJyoQMQzh9z76d4v4FJMmJ.jpg,Released,"English, Spanish",7.2
Brick,"After a phone call from his ex-girlfriend, teenage loner Brendan Frye learns that her dead body was found. Vowing to solve her murder himself, he must infiltrate high-school cliques that he previously avoided. His search for the truth brings him before some of the school’s roughest characters.","Drama, Mystery",A detective story.,"drug dealer, high school, california, ex-girlfriend, investigation, manipulation, lone wolf, halloween party, murder, disappearance, whodunit, drugs, criminal underworld, drug lord, ex-boyfriend ex-girlfriend relationship, loner, loose cannon, criminal organization, murder mystery, neo-noir, hardboiled detective, drug kingpin, secret pregnancy, independent film, teenager",Rian Johnson,"Joseph Gordon-Levitt, Emilie de Ravin, Nora Zehetner, Lukas Haas, Noah Fleiss, Matt O'Leary, Noah Segan, Meagan Good, Brian J. White, Richard Roundtree",/5WVk8JpNIxepn4fpZzQeCumkOL5.jpg,Released,English,7.1
銃夢,"In his travels as a bounty hunter, Hunter–Warrior and cyborg healer Ido one day discovers and repairs the remnants of a cyborg whom he names Gally. Though possessing the body of a young woman, Gally now embodies Ido's most sophisticated and lethal cybernetic skills. The preternaturally strong, amnesiac Gally begins to forge a life for herself in a world where every day is a struggle for survival.","Animation, Action, Science Fiction","Angel to one, death to the rest.","bounty hunter, cyborg, dystopia, cyberpunk, robot, female cyborg",Hiroshi Fukutomi,"Miki Ito, Shunsuke Kariya, Kappei Yamaguchi, Mami Koyama, Shigeru Chiba, Ryuuzaburou Ootomo, Kazuhiko Kishino, Koji Totani, Takumi Yamazaki, Kazuyuki Sogabe",/urvznwew7HrjrIEbK2RLaEkaezs.jpg,Released,Japanese,7.2
メガゾーン23 III イブの目覚め／解放の日,"Years after the events of Megazone 23 II, the only city on Earth is the supposedly idyllic Eden. There lives Eiji Takanaka, a B Level hacker who has just been accepted into EX, the organization that controls Eden. However, before his first day on the job, he becomes embroiled in a network war, a legendary figure named EVE, and a plot to re-inhabit the Earth.","Animation, Science Fiction",Some Secrets Never Die,"cyberpunk, anime","Shinji Aramaki, Ken'ichi Yatagai","Hiroko Kasahara, Saki Takaoka, Takeshi Kusao, Maria Kawamura, Masato Kubota, Mitsuo Iwata, Nozomu Sasaki, Yuriko Fuchizaki, Arihiro Hase, Daiki Nakamura",/isZnr1N2D2TYahhRXYs8yO83qkS.jpg,Released,"English, Japanese",6.3
Hope and Glory,A middle-aged man recalls his childhood growing up in and around London during World War II.,"Drama, War, Family",The epic story of a world at war. And a boy at play.,"london, england, wartime, based on true story, home front, 1940s, bomb shelter, children in wartime",John Boorman,"Sebastian Rice-Edwards, Geraldine Muir, Sarah Miles, David Hayman, Sammi Davis, Derrick O'Connor, Susan Wooldridge, Jean-Marc Barr, Ian Bannen, Annie Leon",/1I5dP5Q55t1cgABizO1gcn5kzLV.jpg,Released,English,7.3
No Way Home,An ex-con's future is threatened by his brother's involvement with drugs.,Drama,Blood ties can be murder.,"strip club, drugs, ex-con, barroom brawl",Buddy Giovinazzo,"James Russo, Tim Roth, Deborah Kara Unger, Joseph Ragno, Catherine Kellner, Saul Stein, Bernadette Penotti, Gareth Williams, Jerry Dean, Larry Romano",/eq4VgCeSs5gMP5QeyxpIYlUaVR4.jpg,Released,English,6.7
Only Angels Have Wings,A traveling performer arrives at a remote South American port town where the head of an air freight service must risk his pilots' lives to earn a major contract.,"Romance, Adventure, Drama",BIG As The Fog-Shrouded Andes!,"airplane, pilot, flyer, south america, old flame, showgirl, andes mountains, air freight",Howard Hawks,"Cary Grant, Jean Arthur, Thomas Mitchell, Richard Barthelmess, Rita Hayworth, Allyn Joslyn, Sig Ruman, Victor Kilian, John Carroll, Don 'Red' Barry",/lqcwiWancAkjtAQPHr9V3SfJjBM.jpg,Released,"Spanish, English",7.6
5th Passenger,"Set in the aftermath of an oppressive class war, a pregnant officer aboard an escape pod must struggle to survive with her remaining crew when a mysterious and vicious life form attacks, determined to become the dominant species.","Science Fiction, TV Movie",Question your humanity,"class warfare, alien creature, escape pod",Scotty Baker,"Doug Jones, Tim Russ, Marina Sirtis, Armin Shimerman, Mindy Robinson, David Lim, Elaine Ann Hu, Rico E. Anderson, Manu Intiraymi, Reka Rene",/f8hfZCD2fSsz6LE6FA5uk5mMv11.jpg,Released,English,3.3
Prey for Rock & Roll,"Prey for Rock &amp; Roll is set in the Los Angeles club scene of the late 1980s and follows the story of Jacki (Gershon) and her all-girl punk rock band, Clam Dandy. On the verge of turning 40, Jacki decides that if the band's one last shot at the big time is unsuccessful, she will give up her dreams of stardom. Along the way, the women are rocked by personal tragedies that threaten to break up the band before they can get their last shot at success.","Drama, Music",For these girls... it's all about survival.,"concert, rock 'n' roll, rape, tattoo, alcohol, fight, inspiration, revenge, tragedy, contract, los angeles, california, drugs, record, producer, addict, label, gig",Alex Steyermark,"Gina Gershon, Drea de Matteo, Marc Blucas, Shelly Cole, Ivan Martin, Lori Petty, Sandra Seacat, Ashley Eckstein, Shakara Ledard, Eddie Driscoll",/qXXAJjWHcXbfwdlq96nHSTxCVHv.jpg,Released,English,6.1
The Vintner's Luck,"A fantasy romance set in 19th century France. The film revolves around Sobran, a young peasant winemaker, and the three important figures in his life - his beautiful wife Celeste, baroness Aurora de Valday and an angel named Xas.","Fantasy, Drama, Romance","A tale of love, wine and angels","france, angel, fallen angel, period drama, guardian angel, woman director, winery",Niki Caro,"Jérémie Renier, Gaspard Ulliel, Vera Farmiga, Keisha Castle-Hughes, Eric Godon, Patrice Valota, François Beukelaers, Juliette Mariotte, Finn Van Mell, Vania Vilers",/lClnorCQdh3sh4ZKNT4Nz9hG5nl.jpg,Released,English,5.6
용의자,"Betrayed and on the run, a former North Korean agent tries to seek revenge on the man who killed his wife, find his missing daughter, and uncover the secrets hidden inside the eyeglasses of a dead man.","Action, Thriller",All evidences say he did it.,"martial arts, spy, north korean defector, inter-korean relations",Won Shin-yeon,"Gong Yoo, Park Hee-soon, Cho Seong-ha, Yoo Da-in, Kim Sung-kyun, Nam Bo-ra, Jo Jae-yun, Kim Eui-sung, Gi Ju-bong, Park Ji-il",/a2lMK5eoKN4ndHQpgDrS99EqzJY.jpg,Released,Korean,6.8
Saved By The Light,"A mean, loud-mouthed town bully is talking on the phone one night during a lightning storm when, in a freak occurrence, a bolt of lightning strikes a telephone pole, travels down the phone wires and hits him. He is declared clinically dead, but miraculously recovers shortly thereafter--with a completely new personality and, he claims, the ability to communicate with the dead.","Drama, TV Movie",His life was over... so they thought.,"miracle, bullying, hospital",Lewis Teague,"Eric Roberts, Don McManus, K Callan, Lynette Walden, Amber Elias, Chris Nelson Norris",/sEmfHz9qhuoRAhF7ebSFCJGKf1A.jpg,Released,English,6.5
